image_id,healthy,multiple_diseases,rust,scab
Test_0,0.00029845609,0.007919806,0.99177647,5.3171566e-06
Test_1,4.3136256e-06,0.0002752324,0.99971706,3.3943936e-06
Test_2,9.306037e-06,4.9166345e-05,2.2546162e-06,0.9999392
Test_3,0.999987,4.545256e-08,1.0831606e-05,2.2087218e-06
Test_4,1.1990347e-05,0.00036812626,0.99961275,7.132591e-06
Test_5,0.998691,0.00015688794,0.00091803406,0.00023402869
Test_6,0.9999697,2.2366396e-06,2.9773369e-06,2.4992112e-05
Test_7,0.0002641901,0.012260542,0.00019721308,0.987278
Test_8,0.0027254396,0.63551843,0.0044344696,0.35732165
Test_9,3.6889152e-05,0.115090616,0.8848388,3.374985e-05
Test_10,9.474204e-07,0.00235722,0.9976417,1.0043146e-07
Test_11,0.9997774,3.866529e-06,0.00017650913,4.2369786e-05
Test_12,0.006117776,0.1359712,0.00011908112,0.8577919
Test_13,0.99814785,0.00075004145,0.0009918466,0.00011037177
Test_14,1.568762e-05,3.8103743e-05,0.9999461,1.2030134e-07
Test_15,3.9271117e-06,0.019809486,0.98018587,6.532153e-07
Test_16,0.9979722,0.00021189461,0.0005055036,0.0013104567
Test_17,0.06042757,0.004122104,0.00054784067,0.9349025
Test_18,0.0013877115,0.028405407,0.0015975874,0.96860933
Test_19,2.0176965e-07,0.00033836128,0.9996611,3.6982587e-07
Test_20,3.434035e-05,0.0027814705,1.3954136e-05,0.99717027
Test_21,0.99968004,6.680899e-07,4.8630704e-06,0.00031444075
Test_22,0.008180347,0.00082458387,0.9909943,8.1764466e-07
Test_23,5.315149e-06,5.731182e-05,4.739227e-06,0.99993265
Test_24,0.92635524,0.07083715,0.00093325967,0.0018742876
Test_25,0.00021127536,0.00035817188,7.9065525e-05,0.99935144
Test_26,0.021430535,0.09898444,0.00025079132,0.8793343
Test_27,9.768621e-05,0.009346782,0.9905116,4.396861e-05
Test_28,0.9999807,4.123563e-07,8.507887e-06,1.04012815e-05
Test_29,0.0015237639,0.9647187,0.032528132,0.0012293648
Test_30,0.9979225,0.0002947076,5.7709563e-05,0.0017251697
Test_31,4.8934595e-05,0.7434176,0.25650293,3.051131e-05
Test_32,0.0007528594,0.18437527,0.005023904,0.809848
Test_33,0.00030375458,0.015422908,0.00013419693,0.98413914
Test_34,0.0002608417,0.016235394,0.00013381036,0.98336995
Test_35,2.9016435e-05,0.00016453172,1.9969395e-06,0.99980444
Test_36,1.1983544e-05,7.239233e-05,0.99991393,1.6531746e-06
Test_37,0.00011655651,0.00051746535,5.452396e-07,0.9993654
Test_38,1.2726248e-06,5.781327e-06,6.9219816e-08,0.99999285
Test_39,1.3687887e-05,2.2530678e-05,0.99995637,7.3715873e-06
Test_40,8.407959e-07,0.0003458029,0.9996525,7.792654e-07
Test_41,7.047008e-05,0.0024749278,0.99706644,0.00038823934
Test_42,0.00019192585,6.7256656e-06,3.6530768e-08,0.99980134
Test_43,0.00012604587,0.024156073,0.9757112,6.586543e-06
Test_44,0.04731711,0.8840615,0.0028686388,0.065752625
Test_45,0.011103306,0.03779699,4.3074015e-05,0.95105666
Test_46,0.5447173,0.31966293,0.0012213831,0.13439842
Test_47,8.1391336e-05,0.0006612852,0.9992506,6.7141764e-06
Test_48,0.0002928327,0.0013668162,0.99827623,6.415343e-05
Test_49,8.9318155e-06,1.7732622e-05,0.99996173,1.1559456e-05
Test_50,0.00039928796,0.021714248,0.977768,0.000118383505
Test_51,1.6667099e-07,7.726623e-05,0.9999223,2.571686e-07
Test_52,5.0697968e-06,0.002192122,0.9978027,1.6209692e-07
Test_53,1.8055429e-06,0.00077580125,0.9992213,1.0726266e-06
Test_54,0.13655072,0.68836224,0.005075415,0.17001162
Test_55,4.3627937e-05,0.0004167064,1.1553264e-05,0.99952817
Test_56,0.0001152443,0.019876117,0.00018582778,0.9798228
Test_57,0.9741086,0.000364072,0.0012132095,0.024314158
Test_58,1.410811e-05,6.737378e-05,1.8346066e-06,0.9999167
Test_59,1.3851766e-05,0.0033325916,0.9966294,2.4086596e-05
Test_60,1.07073265e-05,0.00044451884,4.74465e-06,0.9995401
Test_61,0.9980971,0.0002487389,0.0007653066,0.0008887831
Test_62,1.8585079e-05,0.00076518615,0.00016305804,0.9990532
Test_63,2.2447475e-05,0.014011248,3.2398013e-06,0.98596305
Test_64,0.5883816,0.0022498802,0.03672016,0.3726484
Test_65,0.00012166934,0.03276729,0.96708983,2.1239666e-05
Test_66,0.99999785,6.0824843e-09,5.886857e-07,1.5884013e-06
Test_67,4.0811265e-06,2.2843737e-06,0.9999926,1.0695345e-06
Test_68,0.00011478762,0.5733536,6.069697e-05,0.4264709
Test_69,2.0834535e-05,2.0438203e-05,0.9999577,1.1189437e-06
Test_70,2.6086374e-05,0.012748991,2.5800364e-05,0.9871991
Test_71,0.005617955,0.0036305087,0.99055475,0.00019668727
Test_72,2.76206e-05,0.00016529363,5.7828597e-06,0.9998012
Test_73,0.99836534,0.00021545221,0.0013433038,7.600016e-05
Test_74,0.9999715,9.3258395e-06,4.0498026e-08,1.9132442e-05
